+--------+------------------+------------------+------------------+----------------------------+
| Index  |    Interative    | Binet's Formula  |    Difference    |          ERROR(%)          |
|     92 |     7.540114e+18 |     7.540114e+18 |    -2.259500e+04 |     2.996639120456897e-13% |
|     93 |     1.220016e+19 |     1.220016e+19 |    -3.711800e+04 |    3.0424190122937165e-13% |
|     94 |     1.974027e+19 |     1.974027e+19 |    -5.971300e+04 |    3.0249326496133455e-13% |
|     95 |     3.194043e+19 |     3.194043e+19 |    -9.887900e+04 |    3.0957311987132465e-13% |
|     96 |     5.168071e+19 |     5.168071e+19 |    -1.667840e+05 |     3.227200317015799e-13% |
|     97 |     8.362114e+19 |     8.362114e+19 |    -2.656630e+05 |     3.176983582295205e-13% |
|     98 |     1.353019e+20 |     1.353019e+20 |    -4.406390e+05 |      3.25671077198108e-13% |
|     99 |     2.189230e+20 |     2.189230e+20 |    -7.226860e+05 |     3.301096795451079e-13% |
|    100 |     3.542248e+20 |     3.542248e+20 |    -1.196093e+06 |     3.376649058212583e-13% |
|    101 |     5.731478e+20 |     5.731478e+20 |    -1.886011e+06 |    3.2906186766612585e-13% |
|    102 |     9.273727e+20 |     9.273727e+20 |    -3.082104e+06 |    3.3234793583487423e-13% |
|    103 |     1.500521e+21 |     1.500521e+21 |    -5.164723e+06 |     3.441954225468777e-13% |
|    104 |     2.427893e+21 |     2.427893e+21 |    -8.246827e+06 |    3.3967008530415506e-13% |
|    105 |     3.928414e+21 |     3.928414e+21 |    -1.367369e+07 |    3.4807163449006927e-13% |
|    106 |     6.356307e+21 |     6.356307e+21 |    -2.244481e+07 |    3.5311083974851407e-13% |
|    107 |     1.028472e+22 |     1.028472e+22 |    -3.611850e+07 |    3.5118603461607536e-13% |
|    108 |     1.664103e+22 |     1.664103e+22 |    -5.856331e+07 |    3.5192124475494673e-13% |
|    109 |     2.692575e+22 |     2.692575e+22 |    -9.887612e+07 |    3.6721771715932893e-13% |
|    110 |     4.356678e+22 |     4.356678e+22 |    -1.637309e+08 |     3.758159337454354e-13% |
|    111 |     7.049252e+22 |     7.049252e+22 |    -2.584127e+08 |      3.66581708988022e-13% |
|    112 |     1.140593e+23 |     1.140593e+23 |    -4.221436e+08 |     3.701088689855981e-13% |
|    113 |     1.845518e+23 |     1.845518e+23 |    -6.889449e+08 |    3.7330700795809085e-13% |
|    114 |     2.986111e+23 |     2.986111e+23 |    -1.127866e+09 |    3.7770384379672853e-13% |
|    115 |     4.831630e+23 |     4.831630e+23 |    -1.816811e+09 |     3.760244019493225e-13% |
|    116 |     7.817741e+23 |     7.817741e+23 |    -3.078894e+09 |     3.938342439341257e-13% |
|    117 |     1.264937e+24 |     1.264937e+24 |    -4.962814e+09 |     3.923368022505096e-13% |
|    118 |     2.046711e+24 |     2.046711e+24 |    -8.041708e+09 |     3.929087740774801e-13% |
|    119 |     3.311648e+24 |     3.311648e+24 |    -1.300452e+10 |     3.926903002801847e-13% |
|    120 |     5.358359e+24 |     5.358359e+24 |    -2.104623e+10 |     3.927737498451003e-13% |
|    121 |     8.670007e+24 |     8.670007e+24 |    -3.458762e+10 |     3.989341523855251e-13% |
|    122 |     1.402837e+25 |     1.402837e+25 |    -5.563385e+10 |      3.96581087999464e-13% |
|    123 |     2.269837e+25 |     2.269837e+25 |    -9.022147e+10 |    3.9747987861722247e-13% |
|    124 |     3.672674e+25 |     3.672674e+25 |    -1.565927e+11 |    4.2637253936754823e-13% |
|    125 |     5.942511e+25 |     5.942511e+25 |    -2.511092e+11 |     4.225640538073244e-13% |
|    126 |     9.615186e+25 |     9.615186e+25 |    -4.119969e+11 |     4.284856243117022e-13% |
|    127 |     1.555770e+26 |     1.555770e+26 |    -6.373362e+11 |    4.0965976351613797e-13% |
|    128 |     2.517288e+26 |     2.517288e+26 |    -1.066513e+12 |     4.236753549169307e-13% |
|    129 |     4.073058e+26 |     4.073058e+26 |    -1.806928e+12 |    4.4362944922677377e-13% |
|    130 |     6.590346e+26 |     6.590346e+26 |    -2.942161e+12 |      4.46434957290903e-13% |
|    131 |     1.066340e+27 |     1.066340e+27 |    -4.542931e+12 |    4.2603008248839217e-13% |
|    132 |     1.725375e+27 |     1.725375e+27 |    -7.622531e+12 |    4.4178979482648475e-13% |
|    133 |     2.791715e+27 |     2.791715e+27 |    -1.216546e+13 |     4.357701203662544e-13% |
|    134 |     4.517090e+27 |     4.517090e+27 |    -2.006287e+13 |    4.4415471810409794e-13% |
|    135 |     7.308806e+27 |     7.308806e+27 |    -3.277809e+13 |     4.484739147681354e-13% |
|    136 |     1.182590e+28 |     1.182590e+28 |    -5.284096e+13 |    4.4682412844656825e-13% |
